type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.28943147386478063,0.5023198267085802,0.3672541720194081,6733,1557,0.0365726132159914,0.11494249867883014,,
art,0.3907407407371228,0.5788751714598234,0.4665561035302329,658,307,0.020576131686960545,0.05075445816116935,3334,729
building,0.31953642383841446,0.5316804407640264,0.3991726943757225,822,340,0.009641873278104106,0.030303030302612905,3226,726
event,0.24653312788716078,0.44880785413115276,0.3182496224711675,978,393,0.0014025245441598524,0.0322580645156766,3215,713
location,0.27658186562115733,0.5608465608391422,0.37046744860915337,1109,332,0.030423280422877997,0.060846560845755994,3405,756
organization,0.29576338928620494,0.4607721046019829,0.3602726339880055,881,433,0.021170610211442457,0.10087173100746112,3559,803
other,0.2296819787975721,0.433694745617734,0.3003176391327252,1744,679,0.015846538782186434,0.09090909090833271,5501,1199
person,0.3755496921690805,0.5640686921986252,0.450897566474227,710,330,0.04095112285282759,0.07793923381667187,3582,757
product,0.26119917298234874,0.48403575989164704,0.3393016964287936,1072,404,0.034482758620249264,0.08045977011391495,3399,783
art-music,0.5243128963948348,0.6702702702521548,0.5883748467807314,225,122,0.02432432432366691,0.013513513513148284,1649,370
art-writtenart,0.28665568368555755,0.4846796657246607,0.3602484425270588,433,185,0.016713091921540024,0.08913649024821346,1685,359
building-hospital,0.31703204046682915,0.5094850948371413,0.3908523861153566,405,181,0.00542005420039512,0.02168021680158048,1641,369
building-theater,0.32195121950696015,0.5546218487239601,0.4074074027512956,417,159,0.014005602240504044,0.03921568627341133,1585,357
event-election,0.15987933634751314,0.33865814695403645,0.21721311039264068,557,207,0.0,0.04153354632455164,1464,313
event-sportsevent,0.3370078740104408,0.534999999986625,0.41352656529808396,421,186,0.0024999999999375,0.024999999999374998,1751,400
location-bodiesofwater,0.33049645389602134,0.6246648793398213,0.43228199917680654,472,140,0.01876675603166845,0.02949061662119328,1733,373
location-other,0.23067632849962952,0.4986945169582586,0.31544177931981887,637,192,0.04177545691796931,0.09138381200805787,1672,383
organization-government/governmentagency,0.29113924050172246,0.48677248675960916,0.36435643095257325,448,194,0.02116402116346127,0.09788359788100837,1694,378
organization-politicalparty,0.3004846526607353,0.43764705881323185,0.3563218342462861,433,239,0.021176470587737025,0.10352941176226989,1865,425
other-educationaldegree,0.1714285714255102,0.23021582733260873,0.1965199541614347,464,321,0.0,0.06235011990258153,1874,417
other-livingthing,0.24301336573216265,0.5181347150124835,0.3308519394029477,623,186,0.023316062175561758,0.12435233160299605,1814,386
other-medical,0.25425652667134785,0.5656565656422814,0.35082223533985113,657,172,0.02525252525188756,0.08838383838160646,1813,396
person-actor,0.41387559807622304,0.4779005524729862,0.443589738604142,245,189,0.0607734806613046,0.08287292817450627,1800,362
person-athlete,0.35326842836782657,0.6430379746672649,0.4560143580718552,465,141,0.022784810126005448,0.07341772151712866,1782,395
product-car,0.29166666666274643,0.5203836930330843,0.3738156715314622,527,200,0.026378896881861416,0.07194244604144023,1833,417
product-weapon,0.22913719943098815,0.4426229508075786,0.3019571250426942,545,204,0.0437158469933411,0.09016393442376601,1566,366
