type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.2709,0.1854,0.2201,3085,5036,0.0,0.0,,;
art,0.057,0.0153,0.0242,149,578,0.00197081069564291,0.004277676089756627,587,158
building,0.2143,0.1366,0.1669,275,474,0.002148189974276931,0.009402405300238118,549,350
event,0.0696,0.0581,0.0634,401,486,0.0008404913641821372,0.004080867960304431,516,431
location,0.2311,0.1899,0.2085,489,627,0.00519901208830443,0.005642624588639708,774,636
organization,0.2862,0.1388,0.1869,207,515,0.0006038647342995169,0.004459013879303734,598,290
other,0.2757,0.2221,0.246,867,1156,0.0012470655133445848,0.003825737079741512,1486,1197
person,0.453,0.3472,0.3931,343,534,0.0015241234026884933,0.004061675690684437,818,627
product,0.3469,0.2201,0.2693,354,666,0.0016500762263474125,0.00556971524857341,854,542
art-music,0.0706,0.0205,0.0317,79,287,0.0009041591320072332,0.003004730852832119,293,85
art-writtenart,0.0448,0.0102,0.0166,64,291,0.003472222222222222,0.00625,294,67
building-hospital,0.135,0.0961,0.1122,141,207,0.0009793988517392772,0.007623076604039649,229,163
building-theater,0.2834,0.1656,0.2091,134,267,0.0033780373494844617,0.011274684002954415,320,187
event-election,0.0462,0.0474,0.0468,227,221,0.0011910589003100017,0.0021191442803259334,232,238
event-sportsevent,0.0984,0.0669,0.0797,174,265,0.0003831417624521073,0.006640128163494771,284,193
location-bodiesofwater,0.3119,0.2411,0.272,225,321,0.005007617827315506,0.006293263263129105,423,327
location-other,0.1456,0.1282,0.1364,264,306,0.00536213219710181,0.0050881029910635174,351,309
organization-government/governmentagency,0.0,0.0,0.0,0,260,0.0,0.0,260,0
organization-politicalparty,0.2862,0.2456,0.2643,207,255,0.0006038647342995169,0.004459013879303734,338,290
other-educationaldegree,0.1341,0.1232,0.1284,226,249,0.0015890328254575049,0.0022828554674845214,284,261
other-livingthing,0.2238,0.1817,0.2006,371,482,0.001317031733290433,0.0038124795969592625,589,478
other-medical,0.4105,0.3067,0.3511,270,425,0.0008646874387615129,0.005135402896342602,613,458
person-actor,0.4734,0.3747,0.4183,168,252,0.0007763975155279503,0.0027370323129251696,403,319
person-athlete,0.4318,0.3205,0.3679,175,282,0.0022419402543626143,0.005333333333333333,415,308
product-car,0.3947,0.2069,0.2715,138,345,0.0028180354267310784,0.003990198927269865,435,228
product-weapon,0.3121,0.2339,0.2674,216,321,0.0009038800705467372,0.006578850676072897,419,314
