type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.18850384350683544,0.3085835592534507,0.2340396059907518,32884,20923,0.1085073119929739,0.2215126241248582,,
art,0.0031320689055104713,0.004148421295219755,0.0035692990831624654,5729,4321,0.001152339248672154,0.02028117077662991,4382,4339
building,0.0007949125596168622,0.0009304489416121646,0.0008573522273236479,5028,4295,0.0,0.013724121888779427,4211,4299
event,0.001106719367587183,0.001621872103796057,0.001315660999120204,6318,4309,0.00023169601482800814,0.010426320667260366,4292,4316
location,0.0023614609571751236,0.003311989401626602,0.0027570946716444136,6337,4514,0.002207992934417735,0.018326341355667197,4539,4529
organization,0.0019733596447928303,0.003255340793482695,0.0024571864239723703,8092,4899,0.0024415055951120214,0.024415055951120215,4919,4915
other,0.0039055404177984507,0.006059751972933963,0.004749801927563602,10967,7053,0.004791431792552436,0.029875986471209308,7137,7096
person,0.006180319922435554,0.010605115408586807,0.0078095045733797335,8201,4758,0.003535038469528935,0.03202328966514447,4828,4809
product,0.002869097429763456,0.0050052137643274135,0.003647411781329156,8341,4771,0.0020855057351364223,0.023774765380555216,4808,4795
art-music,0.005291005290987794,0.0071556350625798055,0.006083645302309873,3008,2220,0.0008944543828224757,0.02236135957056189,2248,2236
art-writtenart,0.0007344840249697595,0.0009510223490206799,0.0008288388455001345,2721,2101,0.00142653352353102,0.018069424631392918,2134,2103
building-hospital,0.0010668563300104308,0.001376778338681153,0.0012021589754534115,2809,2176,0.0,0.010555300596555506,2150,2179
building-theater,0.00045045045044842143,0.00047169811320532223,0.00046082449579417354,2219,2119,0.0,0.0169811320753916,2061,2120
event-election,0.0,0.0,0.0,2521,1931,0.0,0.012428793371245838,1938,1931
event-sportsevent,0.0018401682439488955,0.0029350104821679874,0.0022620731429539177,3797,2378,0.00041928721173828393,0.008805031446503962,2354,2385
location-bodiesofwater,0.002968239833769759,0.004482294934986633,0.00357142377790248,3359,2221,0.0013446884804959897,0.01927386822044252,2223,2231
location-other,0.0016761649346239485,0.002175805047858243,0.0018935758453488432,2978,2293,0.00304612706700154,0.017406440382865943,2316,2298
organization-government/governmentagency,0.0017848036715915738,0.0029610829103089635,0.0022271667993616893,3915,2357,0.0025380710659791113,0.022842639593812004,2350,2364
organization-politicalparty,0.002150023889149188,0.003528028224211964,0.002671807673888983,4177,2542,0.0023520188161413095,0.025872206977554404,2569,2551
other-educationaldegree,0.002242152466355145,0.001679261125097904,0.001920302352186051,1780,2378,0.003358522250195808,0.01469353484460666,2371,2382
other-livingthing,0.004105288577628338,0.007151872107668693,0.005216319391979849,4124,2360,0.006310475389119435,0.03618005889761809,2408,2377
other-medical,0.004326450344140951,0.009413778348269519,0.005928316892636496,5063,2315,0.004706889174134759,0.03893881044056937,2358,2337
person-actor,0.003241968759200584,0.0047577854671074496,0.0038562616124649222,3382,2301,0.001297577854665668,0.02465397923864769,2325,2312
person-athlete,0.008232146532191332,0.016019223067617064,0.010875471317559608,4819,2457,0.005606728073665973,0.03884661593897138,2503,2497
product-car,0.0021479713603767352,0.0037515631512974094,0.0027318211396441506,4181,2390,0.0012505210504324697,0.02584410170893771,2369,2399
product-weapon,0.0035928143712488795,0.0062604340567351405,0.004565510508770026,4160,2381,0.0029215358931430654,0.021702838063348488,2439,2396
