type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.2333,0.1089,0.1485,4406,10969,0.009986382206082615,0.015206536541080345,,;
art,0.0588,0.0076,0.0135,144,1169,0.0,0.013888888888888888,1178,153
building,0.1332,0.0571,0.08,423,1073,0.0,0.004728132387706856,1138,488
event,0.0308,0.0203,0.0245,660,1013,0.0,0.007575757575757576,1034,681
location,0.1951,0.1018,0.1338,627,1341,0.019138755980861243,0.049441786283891544,1493,779
organization,0.2057,0.0882,0.1234,421,1127,0.009501187648456057,0.004750593824228029,1236,530
other,0.2991,0.1522,0.2017,1043,2479,0.003835091083413231,0.013422818791946308,2924,1488
person,0.3169,0.1875,0.2356,705,1417,0.02553191489361702,0.009929078014184398,1744,1032
product,0.3574,0.1363,0.1973,383,1350,0.015665796344647518,0.010443864229765013,1563,596
art-music,0.037,0.0069,0.0116,104,577,0.0,0.0,581,108
art-writtenart,0.1111,0.0084,0.0156,40,592,0.0,0.05,597,45
building-hospital,0.0798,0.0381,0.0516,219,480,0.0,0.0045662100456621,499,238
building-theater,0.184,0.072,0.1035,204,593,0.0,0.004901960784313725,639,250
event-election,0.0123,0.0107,0.0114,400,464,0.0,0.0075,469,405
event-sportsevent,0.058,0.0283,0.038,260,549,0.0,0.007692307692307693,565,276
location-bodiesofwater,0.2584,0.1305,0.1735,287,666,0.027874564459930314,0.04529616724738676,766,387
location-other,0.1327,0.0715,0.0929,340,675,0.011764705882352941,0.052941176470588235,727,392
organization-government/governmentagency,0.0,0.0,0.0,0,511,0.0,0.0,511,0
organization-politicalparty,0.2057,0.1503,0.1737,421,616,0.009501187648456057,0.004750593824228029,725,530
other-educationaldegree,0.1333,0.08,0.1,325,575,0.009230769230769232,0.003076923076923077,625,375
other-livingthing,0.2598,0.1266,0.1702,396,959,0.0,0.025252525252525252,1098,535
other-medical,0.4429,0.2132,0.2878,322,945,0.003105590062111801,0.009316770186335404,1201,578
person-actor,0.3313,0.2474,0.2833,434,654,0.03686635944700461,0.0069124423963133645,869,649
person-athlete,0.2924,0.128,0.1781,271,763,0.007380073800738007,0.014760147601476014,875,383
product-car,0.407,0.1346,0.2023,153,675,0.026143790849673203,0.013071895424836602,780,258
product-weapon,0.3195,0.1379,0.1927,230,675,0.008695652173913044,0.008695652173913044,783,338
