type,precision,recall,f1,fp_cnt,fn_cnt,within_error,outer_error,support,query_cnt
overall,0.2515,0.199,0.2222,3508,4747,0.004846066134549601,0.008836944127708095,,;
art,0.1022,0.0406,0.0582,202,543,0.0,0.009900990099009901,566,225
building,0.2196,0.1621,0.1865,295,429,0.0,0.003389830508474576,512,378
event,0.061,0.0616,0.0613,462,457,0.0,0.0021645021645021645,487,492
location,0.2483,0.2042,0.2241,445,573,0.011235955056179775,0.017977528089887642,720,592
organization,0.2179,0.1272,0.1606,262,501,0.003816793893129771,0.022900763358778626,574,335
other,0.2546,0.2565,0.2556,1095,1084,0.0036529680365296802,0.00821917808219178,1458,1469
person,0.4006,0.345,0.3707,398,505,0.010050251256281407,0.002512562814070352,771,664
product,0.344,0.2184,0.2672,349,655,0.008595988538681949,0.008595988538681949,838,532
art-music,0.1782,0.0629,0.093,83,268,0.0,0.024096385542168676,286,101
art-writtenart,0.0403,0.0179,0.0248,119,275,0.0,0.0,280,124
building-hospital,0.1919,0.1364,0.1594,139,209,0.0,0.0,242,172
building-theater,0.2427,0.1852,0.2101,156,220,0.0,0.00641025641025641,270,206
event-election,0.0375,0.05,0.0429,282,209,0.0,0.0,220,293
event-sportsevent,0.0955,0.0712,0.0815,180,248,0.0,0.005555555555555556,267,199
location-bodiesofwater,0.2955,0.2524,0.2723,248,308,0.016129032258064516,0.016129032258064516,412,352
location-other,0.1792,0.1396,0.1569,197,265,0.005076142131979695,0.02030456852791878,308,240
organization-government/governmentagency,0.0,0.0,0.0,0,247,0.0,0.0,247,0
organization-politicalparty,0.2179,0.2232,0.2205,262,254,0.003816793893129771,0.022900763358778626,327,335
other-educationaldegree,0.1858,0.21,0.1972,276,237,0.0,0.007246376811594203,300,339
other-livingthing,0.2467,0.2224,0.2339,400,458,0.0025,0.0075,589,531
other-medical,0.3005,0.3163,0.3082,419,389,0.007159904534606206,0.00954653937947494,569,599
person-actor,0.429,0.357,0.3897,181,245,0.011049723756906077,0.0055248618784530384,381,317
person-athlete,0.3746,0.3333,0.3528,217,260,0.009216589861751152,0.0,390,347
product-car,0.3436,0.1935,0.2476,149,325,0.020134228187919462,0.0,403,227
product-weapon,0.3443,0.2414,0.2838,200,330,0.0,0.015,435,305
